,feature1,date,psi_co,psi_o3,psi_no2,psi_so2,psi_pm10,total_psi,year_month,year,month,feature2,day
0,9,1388-01-01,52.03,14,0.87,8.86,106.3,106.25,1388-01,1388,1,324,1
1,1,1388-01-02,71.73,14,3,7.22,104.2,104.17,1388-01,1388,1,325,2
2,0,1388-01-03,51.48,15,2,8.01,658.3,658.33,1388-01,1388,1,326,3
3,0,1388-01-04,50.37,16.9,3,12.88,316.7,316.67,1388-01,1388,1,327,4
4,1,1388-01-05,40.24,16,3,6.44,816.7,816.67,1388-01,1388,1,328,5
5,1,1388-01-06,53.84,16.7,2,7.94,112.5,112.5,1388-01,1388,1,329,6
6,2,1388-01-07,48.7,18.7,0.9,9.01,83.3,83.33,1388-01,1388,1,330,7
7,0,1388-01-08,30.53,19.9,1.15,10.98,175,175,1388-01,1388,1,331,8
8,0,1388-01-09,78,17,1.14,12.66,139.6,139.58,1388-01,1388,1,332,9
9,4,1388-01-10,77,13.3,2,6.63,95.8,186.42,1388-01,1388,1,333,10
10,0,1388-01-11,47.59,13.4,4,5.03,133.3,133.33,1388-01,1388,1,334,11
11,3,1388-01-12,76,16.7,2,13.29,108.3,174.52,1388-01,1388,1,335,12
12,1,1388-01-13,6.52,17.7,0.97,8.76,137.5,137.5,1388-01,1388,1,336,13
13,6,1388-01-14,10.68,17.4,3,7.78,116.7,116.67,1388-01,1388,1,337,14
14,6,1388-01-15,52.03,16.3,1,7.75,77.1,77.08,1388-01,1388,1,338,15
15,1,1388-01-16,71.73,20,0.86,8.47,75,75,1388-01,1388,1,339,16
16,3,1388-01-17,51.48,17,3,6.05,75,75,1388-01,1388,1,340,17
17,3,1388-01-18,50.37,13.5,3,8.01,104.2,104.17,1388-01,1388,1,341,18
18,4,1388-01-19,40.24,12,1,4.74,77.1,77.08,1388-01,1388,1,342,19
19,4,1388-01-20,53.84,12.9,2,6.14,75,75,1388-01,1388,1,343,20
20,5,1388-01-21,48.7,11.2,3,6.81,93.8,93.75,1388-01,1388,1,344,21
21,4,1388-01-22,30.53,13.5,3,8.97,116.7,116.67,1388-01,1388,1,345,22
22,2,1388-01-23,74,13.2,0.84,6.66,77.1,83.25,1388-01,1388,1,346,23
23,6,1388-01-24,78,12.2,1.03,11.78,106.3,186.42,1388-01,1388,1,347,24
24,5,1388-01-25,47.59,11.9,0.98,13.33,81.3,81.25,1388-01,1388,1,348,25
25,13,1388-01-26,77,12.4,1.09,18.77,75,174.52,1388-01,1388,1,349,26
26,6,1388-01-27,6.52,13.2,2,6.94,75,75,1388-01,1388,1,350,27
27,6,1388-01-28,10.68,12.9,1,7.42,75,75,1388-01,1388,1,351,28
28,4,1388-01-29,20.67,13.5,2,6.93,87.5,87.5,1388-01,1388,1,352,29
29,0,1388-01-30,7.08,17.6,2,10.27,131.3,131.25,1388-01,1388,1,353,30
30,0,1388-01-31,11.66,18.2,0.87,14.38,93.8,93.75,1388-01,1388,1,354,31
299,3,1388-02-01,16.65,18.3,2.9,6.89,83.3,95.88,1388-02,1388,2,355,1
300,5,1388-02-02,13.88,16.7,4.49,8.79,102.1,179.33,1388-02,1388,2,356,2
301,6,1388-02-03,11.1,20.7,4.66,12.54,137.5,187.26,1388-02,1388,2,357,3
302,4,1388-02-04,7.08,18,5.41,8.41,131.3,189.76,1388-02,1388,2,358,4
303,0,1388-02-05,7.35,13.4,4.57,5.08,83.3,79.17,1388-02,1388,2,359,5
304,0,1388-02-06,7.91,15.4,4,7.3,108.3,95.83,1388-02,1388,2,360,6
305,4,1388-02-07,10.96,13.4,7.16,4.94,120.8,112.5,1388-02,1388,2,361,7
306,2,1388-02-08,15.96,12.3,7,6.42,87.5,83.33,1388-02,1388,2,362,8
307,2,1388-02-09,8.74,11.4,6.61,5.4,120.8,106.25,1388-02,1388,2,363,9
308,2,1388-02-10,9.16,18.7,7.36,6.98,143.8,120.83,1388-02,1388,2,364,10
309,0,1388-02-11,6.94,20.6,8.32,12.09,143.8,141.67,1388-02,1388,2,365,11
310,3,1388-02-12,7.77,14,9.22,5.3,187.5,164.58,1388-02,1388,2,366,12
311,0,1388-02-13,9.3,12.9,4.17,6.19,379.2,332.29,1388-02,1388,2,367,13
312,4,1388-02-14,30.53,12.9,4.25,11.43,301,461.71,1388-02,1388,2,368,14
313,2,1388-02-15,18.73,11.2,3.58,10.85,164.6,152.08,1388-02,1388,2,369,15
314,8,1388-02-16,9.44,13.5,3.88,6.29,301,485.54,1388-02,1388,2,370,16
315,2,1388-02-17,19.98,13.2,2.81,6.78,850,770.83,1388-02,1388,2,371,17
316,4,1388-02-18,14.57,12.2,2.78,6.94,426,175,1388-02,1388,2,372,18
317,2,1388-02-19,12.9,11.9,6.9,5.11,389.6,515.33,1388-02,1388,2,373,19
318,0,1388-02-20,7.63,12.4,5.94,5.14,135.4,104.17,1388-02,1388,2,374,20
319,0,1388-02-21,11.1,13.2,2.78,5.38,152.1,141.67,1388-02,1388,2,375,21
